Cancer_type,SMG1,CAMK2B,PIP4K2C,FLT3,BTK,TYRO3,EPHA2,PTK2,ABL1,EPHA5,MAP2K3,ROR2,BCR,SGK2,PCK1,STK31,BUB1
ACC,0.4065040650406504,0.0,0.0,0.4065040650406504,0.4065040650406504,0.0,0.4065040650406504,0.0,0.0,0.4065040650406504,0.0,0.0,0.4065040650406504,0.0,0.4065040650406504,0.0,0.0
BLCA,0.4595353586928772,0.1021189685984171,0.1531784528976257,0.2042379371968343,0.1531784528976257,0.2042379371968343,0.5105948429920858,0.2297676793464386,0.2042379371968343,0.4595353586928772,0.1021189685984171,0.17870819504723,0.0765892264488128,0.17870819504723,0.1531784528976257,0.2552974214960429,0.3574163900944601
BRCA,0.5292561011467215,0.0882093501911202,0.1764187003822405,0.1176124669214936,0.2058218171126139,0.1176124669214936,0.1176124669214936,0.2646280505733607,0.1764187003822405,0.352837400764481,0.0588062334607468,0.2058218171126139,0.0882093501911202,0.1470155836518671,0.2058218171126139,0.2352249338429873,0.0882093501911202
CESC,0.765420981539847,0.1350742908599729,0.0450247636199909,0.2251238180999549,0.3151733453399369,0.2251238180999549,0.585321927059883,0.1800990544799639,0.3151733453399369,0.3601981089599279,0.0450247636199909,0.2701485817199459,0.2251238180999549,0.0450247636199909,0.0,0.2251238180999549,0.1800990544799639
CHOL,2.027027027027027,0.0,0.0,1.351351351351351,0.0,0.0,4.72972972972973,0.6756756756756757,0.0,0.0,0.0,0.6756756756756757,0.0,0.0,0.0,0.0,0.0
COAD,0.2885783718104496,0.0911300121506682,0.0455650060753341,0.1215066828675577,0.1215066828675577,0.106318347509113,0.2430133657351154,0.2885783718104496,0.2278250303766707,0.4708383961117861,0.0911300121506682,0.2733900364520049,0.1670716889428918,0.0607533414337788,0.0607533414337788,0.318955042527339,0.1974483596597812
DLBC,0.4166666666666667,0.0,0.0,0.0,0.8333333333333334,0.4166666666666667,0.4166666666666667,0.0,0.0,0.8333333333333334,0.8333333333333334,0.4166666666666667,0.0,0.0,0.0,0.0,0.0
ESCA,0.3925417075564278,0.0981354268891069,0.0,0.4906771344455348,0.0,0.0981354268891069,0.3925417075564278,0.1962708537782139,0.1962708537782139,0.5888125613346418,0.0981354268891069,0.1962708537782139,0.0981354268891069,0.0981354268891069,0.0981354268891069,0.1962708537782139,0.0981354268891069
GBM,0.2704530087897228,0.0,0.2028397565922921,0.5409060175794456,0.1352265043948614,0.2028397565922921,0.0676132521974307,0.0676132521974307,0.1352265043948614,0.4732927653820148,0.0,0.2704530087897228,0.0676132521974307,0.0676132521974307,0.3380662609871535,0.4056795131845842,0.2028397565922921
HNSC,0.4728132387706856,0.1013171225937183,0.0675447483958122,0.1688618709895305,0.1688618709895305,0.1350894967916244,0.7092198581560284,0.2364066193853428,0.1688618709895305,0.7429922323539345,0.0675447483958122,0.1688618709895305,0.0675447483958122,0.1350894967916244,0.0,0.2701789935832489,0.1688618709895305
KICH,1.4705882352941175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4705882352941175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIRC,0.1165501165501165,0.0,0.0,0.3496503496503496,0.0,0.0,0.0,0.2331002331002331,0.2331002331002331,0.5827505827505828,0.1165501165501165,0.1165501165501165,0.0,0.3496503496503496,0.4662004662004662,0.4662004662004662,0.0
KIRP,0.9331259720062208,0.3110419906687403,0.0,0.1555209953343701,0.0,0.0,0.3110419906687403,0.1555209953343701,0.3110419906687403,0.1555209953343701,0.1555209953343701,0.0,0.4665629860031104,0.6220839813374806,0.7776049766718507,0.0,0.1555209953343701
LAML,0.8064516129032258,0.0,0.0,4.032258064516129,0.0,0.8064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGG,0.5159958720330238,0.0,0.1031991744066047,0.2063983488132094,0.2063983488132094,0.2063983488132094,0.2063983488132094,0.1031991744066047,0.2063983488132094,0.4127966976264189,0.2063983488132094,0.3095975232198142,0.2063983488132094,0.2063983488132094,0.2063983488132094,0.6191950464396285,0.3095975232198142
